model	temperature	mean_similarity	std_similarity	diversity_score
DeepSeek-V3	0.9	0.0316435693255431	0.0475829097559157	0.9683564306744568
DeepSeek-V3	0.1	0.0674638900181705	0.1162480476556781	0.9325361099818296
DeepSeek-V3-0324	0.7	0.0227903583429774	0.0407238725355711	0.9772096416570226
DeepSeek-V3-0324	0.4	0.0351151314663899	0.0566640324487593	0.96488486853361
DeepSeek-V3-0324	0.9	0.0211310477776767	0.0362956318744825	0.9788689522223232
DeepSeek-V3-0324	0.1	0.0460761729331399	0.0959526983640034	0.95392382706686
gemini-2.0-flash	0.7	0.0359772423585331	0.0406585139777723	0.9640227576414668
gemini-2.0-flash	0.4	0.0474072276563077	0.0506265768836118	0.9525927723436924
gemini-2.0-flash	0.9	0.0296752780726726	0.0369251489834807	0.9703247219273272
gemini-2.0-flash	0.1	0.0708098643414007	0.116316629069789	0.9291901356585992
gemini-2.0-flash-lite	0.7	0.0302647406860432	0.0382596622840744	0.9697352593139568
gemini-2.0-flash-lite	0.4	0.0383538028991398	0.0555843079020409	0.96164619710086
gemini-2.0-flash-lite	0.9	0.0292749847406477	0.0433262458874439	0.9707250152593524
gemini-2.0-flash-lite	0.1	0.0745908557329801	0.1199827650923914	0.9254091442670198
gemini-2.0-flash-thinking-exp	0.7	0.016006187402146	0.0281473001246681	0.983993812597854
gemini-2.0-flash-thinking-exp	0.4	0.0114991290701482	0.0275669555310062	0.9885008709298516
gemini-2.0-flash-thinking-exp	0.9	0.0138687361169874	0.0198882029561738	0.9861312638830124
gemini-2.0-flash-thinking-exp	0.1	0.0085837051438861	0.0225417582235777	0.9914162948561138
gemini-2.0-pro-exp	0.7	0.0267522976457983	0.0420718315293703	0.9732477023542015
gemini-2.5-flash-preview-04-17	0.7	0.0179938227170924	0.0325765233404369	0.9820061772829076
gemini-2.5-flash-preview-04-17	0.4	0.0130742611405896	0.0261937305480352	0.9869257388594104
gemini-2.5-flash-preview-04-17	0.9	0.0129333383861001	0.0189708633210681	0.9870666616139
gemini-2.5-flash-preview-04-17	0.1	0.0094026440097665	0.0256979022126317	0.9905973559902336
gemini-2.5-pro-preview-03-25	0.7	0.0303664032234422	0.0503812816616922	0.9696335967765576
gemini-2.5-pro-preview-03-25	0.4	0.0324201203209157	0.0528181387618275	0.9675798796790842
gemini-2.5-pro-preview-03-25	0.9	0.0199956877533306	0.0311395169604173	0.9800043122466692
gemini-2.5-pro-preview-03-25	0.1	0.0241816302434907	0.0470123411276736	0.9758183697565092
gemma-3-12b-it	0.7	0.1027163850682607	0.1905455424072032	0.8972836149317394
gemma-3-12b-it	0.4	0.1202598096091418	0.1914163511114954	0.8797401903908582
gemma-3-12b-it	0.9	0.1234302789068056	0.2169312468145245	0.8765697210931943
gemma-3-12b-it	0.1	0.165688801704497	0.3051702349571492	0.8343111982955029
gemma-3-1b-it	0.7	0.1129990881381893	0.1808102721958487	0.8870009118618106
gemma-3-1b-it	0.4	0.0904877771045447	0.1373163970324199	0.9095122228954552
gemma-3-1b-it	0.9	0.1372925342224604	0.3002341485691462	0.8627074657775395
gemma-3-1b-it	0.1	0.0595848036909726	0.1023753908410548	0.9404151963090274
gemma-3-27b-it	0.7	0.0859460331322094	0.1762552680299468	0.9140539668677906
gemma-3-27b-it	0.4	0.1420195757909041	0.2354220632876427	0.8579804242090958
gemma-3-27b-it	0.9	0.1474234540031619	0.2529880166965872	0.8525765459968381
gemma-3-27b-it	0.1	0.1684252762471618	0.2708233272501779	0.8315747237528381
gemma-3-4b-it	0.7	0.1110055612308444	0.1787700951998852	0.8889944387691556
