persona,model,Q1reason,Q2reason,Q3reason,Q4reason
p1,gpt-4.1,103.6,100.03333333333333,86.53333333333333,88.13333333333334
p1,gpt-4.1-mini,94.23333333333333,90.23333333333333,78.26666666666667,84.63333333333334
p1,gpt-4.1-nano,72.1,67.4,63.7,64.03333333333333
p1,gpt-4o,109.06666666666666,103.06666666666666,95.53333333333333,105.53333333333333
p1,gpt-4o-mini,106.96666666666667,92.3,102.36666666666666,100.4
p1,grok-2-latest,136.1,122.26666666666667,115.16666666666667,117.5
p1,grok-3-fast-latest,156.26666666666668,139.23333333333332,135.5,144.86666666666667
p1,grok-3-latest,156.03333333333333,136.93333333333334,129.26666666666668,139.36666666666667
p1,grok-3-mini-fast-latest,130.36666666666667,121.3,119.93333333333334,118.2
p1,grok-3-mini-latest,119.33333333333333,110.66666666666667,106.73333333333333,100.3
p1,o1-mini,72.46666666666667,69.16666666666667,63.333333333333336,65.36666666666666
p1,o3,98.96666666666667,89.83333333333333,79.5,87.7
p1,o3-mini,121.8,113.26666666666667,118.23333333333333,133.23333333333332
p1,o4-mini,96.33333333333333,87.5,72.83333333333333,82.43333333333334
p2,DeepSeek-R1,98.1,94.9,81.2,87.76666666666667
p2,DeepSeek-V3,103.43333333333334,91.13333333333334,84.5,88.36666666666666
p2,DeepSeek-V3-0324,86.9,93.7,80.53333333333333,87.1
p2,Llama-3.3-70B-Instruct-Turbo,115.1,116.7,113.06666666666666,125.13333333333334
p2,Llama-4-Maverick-17B,145.13333333333333,133.9,129.9,156.0
p2,Llama-4-Scout-17B,67.53333333333333,56.8,49.833333333333336,70.93333333333334
p2,Qwen2.5-VL-7B-Instruct,134.33333333333334,79.66666666666667,60.0,138.33333333333334
p2,Qwen3-235B-A22B-FP8,139.96666666666667,127.4,99.16666666666667,69.03333333333333
p2,claude-3-5-haiku-20241022,109.46666666666667,94.23333333333333,80.76666666666667,93.03333333333333
p2,claude-3-5-sonnet-20241022,96.4,93.6,88.7,106.1
p2,claude-3-7-sonnet-20250219,150.66666666666666,142.8,144.8,156.66666666666666
p2,claude-3-haiku-20240307,141.8,126.2,130.6,154.6
p2,gemini-2.0-flash,114.13333333333334,114.7,126.96666666666667,133.26666666666668
p2,gemini-2.0-flash-lite,111.1,102.03333333333333,98.86666666666666,102.0
p2,gemini-2.0-flash-thinking-exp,117.4,120.36666666666666,109.83333333333333,121.63333333333334
p2,gemini-2.0-pro-exp,153.0,192.0,149.0,184.0
p2,gemini-2.5-flash-preview-04-17,116.76666666666667,129.73333333333332,110.1,134.4
p2,gemini-2.5-pro-preview-03-25,169.93333333333334,173.63333333333333,165.3,187.13333333333333
p2,gemma-3-12b-it,130.53333333333333,138.66666666666666,124.93333333333334,134.73333333333332
p2,gemma-3-1b-it,97.8,114.5,115.4,102.96666666666667
p2,gemma-3-27b-it,109.83333333333333,96.36666666666666,102.7,105.76666666666667
p2,gemma-3-4b-it,168.96666666666667,143.2,121.0,127.3
p2,gpt-4.1,123.03333333333333,113.16666666666667,110.23333333333333,103.33333333333333
p2,gpt-4.1-mini,95.6,88.1,78.33333333333333,85.9
p2,gpt-4.1-nano,90.73333333333333,82.63333333333334,77.73333333333333,83.86666666666666
p2,gpt-4o,116.03333333333333,110.93333333333334,101.83333333333333,114.16666666666667
p2,gpt-4o-mini,112.83333333333333,104.93333333333334,104.86666666666666,111.73333333333333
p2,grok-2-latest,153.43333333333334,142.63333333333333,128.8,134.56666666666666
p2,grok-3-fast-latest,170.33333333333334,154.0,146.23333333333332,157.76666666666668
