model,temperature,Q1value_mean,Q1value_std,Q1value_median,Q1value_max,Q1value_min,Q1value_skew,Q1value_kurtosis,Q2value_mean,Q2value_std,Q2value_median,Q2value_max,Q2value_min,Q2value_skew,Q2value_kurtosis,Q3value_mean,Q3value_std,Q3value_median,Q3value_max,Q3value_min,Q3value_skew,Q3value_kurtosis,Q4value_mean,Q4value_std,Q4value_median,Q4value_max,Q4value_min,Q4value_skew,Q4value_kurtosis
claude-3-5-haiku-20241022,0.9,69.16666666666667,18.245610399506365,70.0,85.0,20.0,-1.5813098665640788,1.8453281201257403,62.666666666666664,9.625158604455283,60.0,80.0,50.0,-0.023294293820215965,-1.2993380688790137,35.166666666666664,27.432780961185244,20.0,85.0,10.0,0.8839952717868419,-0.9805488520447838,32.833333333333336,21.321970752761324,30.0,75.0,10.0,0.5502776544596091,-0.7826498779652442
claude-3-5-haiku-20241022,0.1,74.16666666666667,6.170471022837572,70.0,85.0,70.0,0.9282537397931896,-0.9763515231653388,55.666666666666664,11.043279539543757,50.0,70.0,40.0,0.3132222570406815,-1.4010817448170052,36.333333333333336,31.675437381878933,20.0,80.0,10.0,0.6888373162988602,-1.5553721908375073,33.5,21.13788884509487,30.0,60.0,5.0,0.18008126947663425,-1.565381760883172
claude-3-5-sonnet-20241022,0.7,68.66666666666667,27.22617064179412,85.0,90.0,30.0,-0.7381042139073242,-1.517197523555399,74.66666666666667,7.648904962570577,70.0,85.0,60.0,0.49104598548381323,-1.239230477837324,45.666666666666664,30.758607803718757,30.0,90.0,20.0,0.6927136001689028,-1.5332138862745668,46.0,30.55238576383306,30.0,90.0,10.0,0.5408747663889795,-1.5394159431185168
claude-3-5-sonnet-20241022,0.4,68.33333333333333,27.64720268113854,85.0,90.0,30.0,-0.7260229151131617,-1.5535714285714297,73.33333333333333,9.128709291752768,70.0,85.0,60.0,0.1686337923353361,-1.229064039408866,47.333333333333336,28.789765103464177,30.0,90.0,20.0,0.698450214226921,-1.5171124221563372,42.833333333333336,33.07992758751752,20.0,90.0,10.0,0.6523938389627577,-1.5660850245878064
claude-3-5-sonnet-20241022,0.9,68.33333333333333,27.64720268113854,85.0,90.0,30.0,-0.7260229151131617,-1.5535714285714297,74.33333333333333,8.065821177311573,70.0,85.0,60.0,0.33670472494461273,-1.130228112296499,47.833333333333336,30.560379277901564,30.0,90.0,20.0,0.628107766639786,-1.558201669968927,42.833333333333336,31.532231275242832,30.0,90.0,10.0,0.5887426212458655,-1.5751982612344302
claude-3-5-sonnet-20241022,0.1,65.0,32.43029660565926,85.0,90.0,20.0,-0.7311664176939148,-1.5535714285714286,69.33333333333333,12.507469032909711,65.0,85.0,40.0,0.03459673084024212,-0.8256265286323781,45.0,29.065917948808988,30.0,85.0,20.0,0.6770575877288463,-1.5535714285714286,40.166666666666664,29.609042576531422,20.0,90.0,10.0,0.7944251841824094,-1.1668301455304695
claude-3-haiku-20240307,0.7,65.5,19.402719325944478,80.0,85.0,30.0,-0.8472375518569217,-1.018665045909683,60.5,12.618404730037568,60.0,90.0,30.0,-0.3963691938126864,0.5558891467118827,41.666666666666664,23.937178316316366,30.0,80.0,10.0,0.645885137886095,-1.3638212243838541,61.333333333333336,14.558640835892126,60.0,80.0,30.0,-0.5346872616351884,-0.32281851810274986
claude-3-haiku-20240307,0.4,69.33333333333333,17.005746155310288,80.0,80.0,30.0,-1.1961061058713591,-0.27733114472102915,63.0,7.022132498578064,60.0,70.0,40.0,-1.1395395919428115,2.5682243164760643,42.666666666666664,21.961303480775282,30.0,80.0,20.0,0.8076305637160819,-1.1431436617845931,63.666666666666664,14.499306364701424,65.0,90.0,30.0,-0.4792748265041557,-0.2153758983924563
claude-3-haiku-20240307,0.9,64.66666666666667,24.457328544635242,80.0,90.0,20.0,-0.8432521982251096,-1.0192778536026585,63.333333333333336,8.840866447369844,60.0,80.0,40.0,-0.4158495787852388,0.6128274839347498,43.0,25.07230922063567,30.0,80.0,20.0,0.6613267571326167,-1.4568457167640096,60.666666666666664,17.798359733284478,60.0,90.0,30.0,-0.14666567585907178,-0.7523486727693003
claude-3-haiku-20240307,0.1,70.0,8.304547985373997,70.0,80.0,60.0,0.0,-1.5535714285714286,63.333333333333336,9.942362632324555,70.0,70.0,40.0,-0.9690404435353042,-0.7808467897705316,39.0,22.946714887711728,30.0,80.0,20.0,1.0299765225130353,-0.5059954590410318,56.333333333333336,20.758601596203082,60.0,90.0,30.0,-0.016759428429862624,-1.2043642991253751
