model,temperature,mean_similarity,std_similarity,diversity_score
gpt-4.1-mini,0.7,0.012802332062271273,0.027237298749765618,0.9871976679377287
gpt-4.1-mini,0.4,0.019425483952602796,0.034832094777264386,0.9805745160473972
gpt-4.1-mini,0.9,0.012157534190837977,0.02314496440731433,0.987842465809162
gpt-4.1-mini,0.1,0.033271819959536604,0.08239102705408163,0.9667281800404633
gpt-4.1-nano,0.7,0.008139010280657688,0.022378273174723406,0.9918609897193423
gpt-4.1-nano,0.4,0.016346936491693186,0.029401644896755386,0.9836530635083068
gpt-4.1-nano,0.9,0.008307073252743567,0.020831882016694964,0.9916929267472564
gpt-4.1-nano,0.1,0.03634768171293361,0.09263182992611864,0.9636523182870664
gpt-4o,0.7,0.014343240420537815,0.021386498131753036,0.9856567595794622
gpt-4o,0.4,0.010836403360562371,0.019977477807356616,0.9891635966394376
gpt-4o,0.9,0.01398962064327195,0.020668726061933956,0.9860103793567281
gpt-4o,0.1,0.008828742412286612,0.015737986032180032,0.9911712575877134
gpt-4o-mini,0.7,0.013951194183590629,0.023232543906364683,0.9860488058164094
gpt-4o-mini,0.4,0.017475914499091087,0.02782974762176875,0.9825240855009089
gpt-4o-mini,0.9,0.013849620956250917,0.021780585046765708,0.9861503790437491
gpt-4o-mini,0.1,0.010552138388455378,0.018563775995273677,0.9894478616115446
grok-2-latest,0.7,0.05254374107896416,0.05644423943638539,0.9474562589210358
grok-2-latest,0.4,0.07059658498355242,0.07832364201502615,0.9294034150164476
grok-2-latest,0.9,0.05258090362871843,0.07522077184702311,0.9474190963712815
grok-2-latest,0.1,0.09502226156954717,0.13965023174249924,0.9049777384304528
grok-3-fast-latest,0.7,0.03579759705753042,0.04826763959538585,0.9642024029424696
grok-3-fast-latest,0.4,0.03818570088913142,0.05340921558107859,0.9618142991108686
grok-3-fast-latest,0.9,0.029135780970833258,0.03497648497552452,0.9708642190291668
grok-3-fast-latest,0.1,0.06015201893926511,0.10603937123965543,0.9398479810607349
grok-3-latest,0.7,0.03444003967461067,0.046907167049787285,0.9655599603253894
grok-3-latest,0.4,0.03747351684212804,0.051943841925935416,0.9625264831578719
grok-3-latest,0.9,0.02664086085515251,0.033051228022691954,0.9733591391448475
grok-3-latest,0.1,0.056743282097101534,0.09600630316639557,0.9432567179028984
grok-3-mini-fast-latest,0.7,0.024055467661645017,0.03555231566192787,0.975944532338355
grok-3-mini-fast-latest,0.4,0.02826377109140669,0.04254779734798553,0.9717362289085933
grok-3-mini-fast-latest,0.9,0.014165500323318127,0.02535362032358849,0.9858344996766819
grok-3-mini-fast-latest,0.1,0.021792052007324595,0.04570608704491647,0.9782079479926754
grok-3-mini-latest,0.7,0.060230407834254276,0.1903508832673989,0.9397695921657457
grok-3-mini-latest,0.4,0.06164684264923301,0.18000331486104806,0.938353157350767
grok-3-mini-latest,0.9,0.0549336134643821,0.18435628704109633,0.9450663865356179
grok-3-mini-latest,0.1,0.062461506466721446,0.20707150131956475,0.9375384935332786
